Year,Count,Name,Gender,Ranking
1996,32071,Matthew,M,2
1996,31908,Jacob,M,3
1996,30900,Christopher,M,4
1996,29168,Joshua,M,5
1996,27718,Nicholas,M,6
1996,26954,Tyler,M,7
1996,25847,Brandon,M,8
1996,25658,Austin,M,9
1996,25226,Andrew,M,10
1996,25089,Daniel,M,11
1996,24740,Joseph,M,12
1996,22988,David,M,13
1996,22365,Zachary,M,14
1996,22158,John,M,15
1996,21805,Ryan,M,16
1996,21153,James,M,17
1996,20537,William,M,18
1996,20498,Anthony,M,19
1996,20008,Justin,M,20
1995,27937,Jessica,F,1
1995,26603,Ashley,F,2
1995,24379,Emily,F,3
1995,21646,Samantha,F,4
1995,21358,Sarah,F,5
1995,20423,Taylor,F,6
1995,17010,Hannah,F,7
1995,16476,Brittany,F,8
1995,16344,Amanda,F,9
1995,16182,Elizabeth,F,10
1995,16084,Kayla,F,11
1995,16041,Rachel,F,12
1995,15526,Megan,F,13
1995,14331,Alexis,F,14
1995,13444,Lauren,F,15
1995,12979,Stephanie,F,16
1995,12771,Courtney,F,17
1995,12684,Jennifer,F,18
1995,12276,Nicole,F,19
1995,12250,Victoria,F,20
1995,41402,Michael,M,1
1995,32873,Matthew,M,2
1995,32665,Christopher,M,3
1995,31118,Jacob,M,4
1995,30714,Joshua,M,5
1995,29156,Nicholas,M,6
1995,29152,Tyler,M,7
1995,26901,Brandon,M,8
1995,26695,Daniel,M,9
1995,25906,Austin,M,10
1995,25837,Andrew,M,11
1995,25332,Joseph,M,12
1995,23226,John,M,13
1995,23128,Zachary,M,14
1995,23089,Ryan,M,15
1995,23026,David,M,16
1995,22723,James,M,17
1995,21579,Justin,M,18
1995,20479,Anthony,M,19
1995,20151,William,M,20
1994,32114,Jessica,F,1
1994,30275,Ashley,F,2
1994,24149,Emily,F,3
1994,22819,Samantha,F,4
1994,22275,Sarah,F,5
1994,20732,Taylor,F,6
1994,18900,Brittany,F,7
1994,18710,Amanda,F,8
1994,16775,Elizabeth,F,9
1994,16579,Megan,F,10
1994,16010,Nicole,F,11
1994,15884,Kayla,F,12
1994,15480,Rachel,F,13
1994,15153,Lauren,F,14
1994,14749,Stephanie,F,15
1994,14493,Hannah,F,16
1994,13998,Jennifer,F,17
1994,13036,Alexis,F,18
1994,12689,Victoria,F,19
1994,12447,Danielle,F,20
1994,44465,Michael,M,1
1994,34799,Christopher,M,2
1994,33645,Matthew,M,3
1994,31366,Joshua,M,4
1994,30476,Tyler,M,5
1994,29487,Brandon,M,6
1994,29404,Jacob,M,7
1994,28046,Daniel,M,8
1994,27760,Nicholas,M,9
1994,26003,Andrew,M,10
1994,25721,Joseph,M,11
1994,25133,Zachary,M,12
1994,24849,David,M,13
1994,24764,James,M,14
1994,24171,John,M,15
1994,24053,Ryan,M,16
1994,23192,Austin,M,17
1994,21597,Anthony,M,18
1994,21487,William,M,19
1994,20931,Justin,M,20
1993,34983,Jessica,F,1
1993,34847,Ashley,F,2
1993,24235,Sarah,F,3
1993,23664,Samantha,F,4
1993,23590,Emily,F,5
1993,21728,Brittany,F,6
1993,21266,Taylor,F,7
1993,20800,Amanda,F,8
1993,17548,Elizabeth,F,9
1993,17180,Stephanie,F,10
1993,16384,Megan,F,11
1993,16186,Lauren,F,12
1993,16179,Nicole,F,13
1993,15959,Rachel,F,14
1993,15747,Jennifer,F,15
1993,15448,Kayla,F,16
